FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1019679,Curzon Oxford,Restaurant/Cafe/Canteen,"Cinema Curzon, 316 The Westgate, Queen Street",OX1 1PG,0,0,0
269512,Cutteslowe Community Centre,Restaurant/Cafe/Canteen,"Wren Road, Oxford",OX2 7SX,0,0,5
949733,Cuttlefish,Restaurant/Cafe/Canteen,"36-37 St Clement's Street, Oxford, Oxfordshire",OX4 1AB,0,0,0
269543,David Lloyd Health And Fitness Club,Restaurant/Cafe/Canteen,"David Lloyd Leisure Plot 9000, Alec Issigonis Way, Oxford",OX4 2JY,0,0,0
1759665,Dirty Bones,Restaurant/Cafe/Canteen,"304 The Westgate, Queen Street, Oxford",OX1 1PG,N/A,N/A,N/A
1743491,Dishoom - The Permit Room,Restaurant/Cafe/Canteen,"Dishoom, North Bailey House, New Inn Hall Street",OX1 2RP,5,5,0
269417,Donnington Doorstep Family Centre,Restaurant/Cafe/Canteen,"Townsend Square, Oxford, Oxfordshire",OX4 4BB,5,0,0
1664074,Dosa Darlings,Restaurant/Cafe/Canteen,"56 - 58 Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,5,5
1047321,DPAG Cafe,Restaurant/Cafe/Canteen,"The Sherrington Building, Parks Road, Oxford",OX1 3PT,0,0,0
434057,Dunelm Pausa Cafe,Restaurant/Cafe/Canteen,"Unit A, Meadowside Retail Park, Lamarsh Road",OX2 0FE,0,0,0
1590783,Eastgate Brasserie,Restaurant/Cafe/Canteen,"Eastgate Hotel, 73 High Street, Oxford",OX1 4BE,0,0,0
1800546,Eat The Future Cafe,Restaurant/Cafe/Canteen,"The Natural History Museum, Parks Road, Oxford",OX1 3PW,N/A,N/A,N/A
268751,Edamame,Restaurant/Cafe/Canteen,"15 Holywell Street, Oxford, Oxfordshire",OX1 3SA,0,0,5
1697041,Elior @ Neilson NIQ,Restaurant/Cafe/Canteen,"Neilson House, 3130 John Smith Drive, Oxford",OX4 2EY,N/A,N/A,N/A
1015457,Elior At Churchill Hospital,Restaurant/Cafe/Canteen,"Churchill Hospital, Old Road, Headington",OX3 7JY,0,5,0
1015458,Elior At Nuffield Orthopaedic Centre,Restaurant/Cafe/Canteen,"Nuffield Orthopaedic Centre, Windmill Road, Oxford",OX3 7HE,5,0,0
1569042,Elior UK - BMW Mini Oxford,Restaurant/Cafe/Canteen,"BMW UK Manufacturing Ltd, Garsington Road, Oxford",OX4 6NL,0,0,0
621598,Elle's Deli & Oli's Thai,Restaurant/Cafe/Canteen,"38 Magdalen Road, Oxford, Oxfordshire",OX4 1RB,0,0,0
1608794,Endorphins Dessert Cafe,Restaurant/Cafe/Canteen,"132 High Street, Oxford, Oxfordshire",OX1 4DN,10,10,10
867882,Exprizza And Desi Grill,Restaurant/Cafe/Canteen,"244 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,5
1786108,Falafel Home,Restaurant/Cafe/Canteen,"42A Abingdon Road, Oxford, Oxfordshire",OX1 4PE,5,0,0
1611514,Falcon Boat Club,Restaurant/Cafe/Canteen,"Falcon Rowing And Canoe Club, Meadow Lane, Oxford",OX4 4BJ,0,0,0
1285790,Fantastea,Restaurant/Cafe/Canteen,"36 High Street, Oxford, Oxfordshire",OX1 4AN,5,0,0
889459,Feel Fit Gym Cafe,Restaurant/Cafe/Canteen,"First Floor, 21 The Square, Oxford",OX4 3XQ,N/A,N/A,N/A
1766808,Five Akhis,Restaurant/Cafe/Canteen,"209A Cowley Road, Oxford, Oxfordshire",OX4 1XF,0,0,0
1015454,Five Guys,Restaurant/Cafe/Canteen,"Oxenford House, 13-15 Magdalen Street, Oxford",OX1 3AE,0,0,0
1800542,Flight Club Darts Oxford,Restaurant/Cafe/Canteen,"301 The Westgate, Queen Street, Oxford",OX1 1PG,N/A,N/A,N/A
1241955,Flo's Cafe,Restaurant/Cafe/Canteen,"Florence Park Childrens Centre, Florence Park, Rymers Lane",OX4 3JZ,5,0,0
1766805,Forage,Restaurant/Cafe/Canteen,"University Running Ground, Iffley Road, Oxford",OX4 1EQ,N/A,N/A,N/A
1015460,Franco Manca,Restaurant/Cafe/Canteen,"6 - 12 George Street, Oxford, Oxfordshire",OX1 2BB,0,0,0
268674,Frankie & Benny's,Restaurant/Cafe/Canteen,"Unit 7A, Ozone Leisure Park, Grenoble Road",OX4 4XP,0,0,0
1776607,Friends Cafe,Restaurant/Cafe/Canteen,"Carfax Gardens, Carfax, Oxford",OX1 1ET,0,0,5
1743479,Fushion Kitchen By Aziz @ The Six Bells,Restaurant/Cafe/Canteen,"Six Bells, 3 Beaumont Road, Oxford",OX3 8JN,0,0,5
1318873,Fusion House,Restaurant/Cafe/Canteen,"4-6 Woodstock Road, Oxford, Oxfordshire",OX2 6HT,10,5,10
1764805,Fuwa Fuwa,Restaurant/Cafe/Canteen,"16 Golden Cross, Oxford, Oxfordshire",OX1 3EU,0,5,0
964599,Gail's Bakery,Restaurant/Cafe/Canteen,"21 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HU,0,5,0
862632,Gail's Bakery,Restaurant/Cafe/Canteen,"251 Banbury Road, Oxford, Oxfordshire",OX2 7HN,0,0,0
1241951,Gather And Gather,Restaurant/Cafe/Canteen,"Oxford Brookes University, Headington Road, Oxford",OX3 0BP,0,0,0
1241949,Gather And Gather,Restaurant/Cafe/Canteen,"School Of Health And Social Care Oxford Brookes University, Jack Straw's Lane, Oxford",OX3 0FL,0,5,0
268353,Gee's Restaurant,Restaurant/Cafe/Canteen,"61A Banbury Road, Oxford, Oxfordshire",OX2 6PE,0,0,0
269309,George And Danver,Restaurant/Cafe/Canteen,"94 St Aldate's, Oxford, Oxfordshire",OX1 1BT,0,5,5
