FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1561476,Doughnut Time,Retailers - other,"229 The Westgate, Queen Street, Oxford",OX1 1PE,5,5,5
1426986,Duhok News,Retailers - other,"293 Iffley Road, Oxford, Oxfordshire",OX4 4AQ,10,10,10
1679223,Dunn School Green Group,Retailers - other,"Sir William Dunn School Of Pathology, South Parks Road, Oxford",OX1 3RE,0,0,0
268522,Eastern And Continental Stores,Retailers - other,"152 Cowley Road, Oxford, Oxfordshire",OX4 1JJ,5,5,10
1318875,El Rincon,Retailers - other,"38 South Parade, Oxford, Oxfordshire",OX2 7JN,0,0,5
867887,Erdem Food Centre,Retailers - other,"236 Cowley Road, Oxford, Oxfordshire",OX4 1UH,10,10,10
1372378,Fit Cookie,Retailers - other,"8 Golden Cross, Oxford, Oxfordshire",OX1 3EU,0,0,5
1156120,Flo's Refill Shop,Retailers - other,"Family Centre, Florence Park, Rymers Lane",OX4 3JZ,0,0,0
988126,Formosan,Retailers - other,"128A High Street, Oxford, Oxfordshire",OX1 4DF,0,5,0
1336968,Game,Retailers - other,"Unit 6, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,N/A,N/A,N/A
1314221,Gather & Gather By CH&CO Catering Ltd - Co-Op Retail Store,Retailers - other,"Oxford Brookes University, Gipsy Lane, Oxford",OX3 0BP,5,5,0
1534508,GG Oriental Snack Shack,Retailers - other,"156 Cowley Road, Oxford, Oxfordshire",OX4 1UE,10,5,20
1227095,GG Oriental Snacks,Retailers - other,"93 Gloucester Green, Oxford, Oxfordshire",OX1 2BU,0,5,10
269491,Globe Newsmarket,Retailers - other,"17 Woodstock Road, Oxford, Oxfordshire",OX2 6HA,5,5,5
268663,Grays Road Stores - General Stores And Newsagent,Retailers - other,"2 Grays Road, Oxford, Oxfordshire",OX3 7QA,0,0,5
269205,Greggs,Retailers - other,"121 Pound Way, Oxford, Oxfordshire",OX4 3XH,0,0,0
1223612,Greggs,Retailers - other,"59-61 Cornmarket Street, Oxford, Oxfordshire",OX1 3HB,0,0,0
1688273,Hamblin Kiosk,Retailers - other,"46 Covered Market, Market Street, Oxford",OX1 3DX,5,0,0
800660,Hayfield Deli,Retailers - other,"4-6 Hayfield Road, Oxford, Oxfordshire",OX2 6TT,5,0,0
1026924,Headington Butchers And Grocers,Retailers - other,"150A London Road, Headington, Oxford",OX3 9ED,0,0,0
701767,Headington Food And Wine,Retailers - other,"121 London Road, Headington, Oxford",OX3 9HZ,10,10,10
269043,Headington Superstore,Retailers - other,"2 The Roundway, Oxford, Oxfordshire",OX3 8DH,0,0,5
816795,Holland & Barrett,Retailers - other,"35 Queen Street, Oxford, Oxfordshire",OX1 1ER,5,5,0
268953,Holland And Barrett,Retailers - other,"100 London Road, Headington, Oxford",OX3 9AJ,0,0,0
269411,Holland And Barrett,Retailers - other,"15 The Square, Oxford, Oxfordshire",OX4 3UZ,0,0,0
268369,Holland And Barrett,Retailers - other,"241 Banbury Road, Oxford, Oxfordshire",OX2 7HN,0,0,0
1561475,Holloway Meat \& Grocery,Retailers - other,"79 Wilkins Road, Oxford, Oxfordshire",OX4 2JB,5,5,10
836598,Honey's Of The High,Retailers - other,"49 High Street, Oxford, Oxfordshire",OX1 4AP,0,0,5
